content_replicate,TimeToThreshold,RAF,MPR,MS
36P.-2_2,0,0,1.035422343,4.166666667
36P.-3_2,0,0,1,2.166666667
blank_7-20221110_M3,0,0,1.067567568,4.333333333
neg_7-20221110_M3,0,0,1.024861878,3.833333333
pos_7-20221110_M3,16.5,0.060606061,22.65555556,1296.5
33P.-1_3,0,0,1.026315789,3.166666667
33P.-2_3,0,0,1.038363171,3.333333333
33P.-3_3,0,0,1.027027027,3
34P.-1_3,0,0,1.049315068,2.5
34P.-2_3,0,0,1.099730458,6.833333333
34P.-3_3,0,0,1.046321526,3
36P.-1_3,0,0,1.052486188,3.5
36P.-2_3,0,0,1.16,6.166666667
36P.-3_3,0,0,1.072423398,3
blank_8-20221110_M3,0,0,1.035422343,2.166666667
neg_8-20221110_M3,0,0,1.035714286,3.833333333
pos_8-20221110_M3,12.75,0.078431373,24.6084507,1159.833333
33P.-1_4,0,0,1.024193548,2.5
33P.-2_4,0,0,1.069832402,3.333333333
33P.-3_4,0,0,1.068047337,3
34P.-1_4,0,0,1.030136986,2.666666667
34P.-2_4,0,0,1.057142857,3
34P.-3_4,0,0,1.041436464,3
36P.-1_4,0,0,1.119444444,5.833333333
36P.-2_4,0,0,1.077994429,5
36P.-3_4,0,0,1.130790191,5.833333333
blank_1-20221110_M3,0,0,1.12345679,4.333333333
neg_1-20221110_M3,0,0,1.064583333,3.166666667
pos_1-20221110_M3,7.16,0.139664804,26.16108787,1956
46P.-1_1,0,0,1.099804305,5.5
46P.-2_1,0,0,1.067061144,3.5
46P.-3_1,0,0,1,1.166666667
48P.-1_1,0,0,1.119341564,4.333333333
48P.-2_1,0,0,1.102079395,11
48P.-3_1,0,0,1.117886179,5
50P.-1_1,0,0,1.121703854,4.5
50P.-2_1,0,0,1.142857143,8.666666667
50P.-3_1,0,0,1.201680672,8.166666667
blank_2-20221110_M3,0,0,1.051759834,4.166666667
neg_2-20221110_M3,0,0,1.104166667,3.666666667
pos_2-20221110_M3,16.16,0.061881188,25,1910.333333
46P.-1_2,0,0,1.080912863,3.833333333
46P.-2_2,0,0,1.090163934,4.5
46P.-3_2,0,0,1.04312115,2.666666667
48P.-1_2,0,0,1.108384458,5.666666667
48P.-2_2,0,0,1.135523614,3.833333333
48P.-3_2,0,0,1.118257261,5.333333333
50P.-1_2,0,0,1.116424116,3.5
50P.-2_2,0,0,1.100823045,5.833333333
50P.-3_2,0,0,1.274193548,15.83333333
blank_3-20221110_M3,0,0,1.016985138,3
neg_3-20221110_M3,0,0,1.079046424,16.66666667
pos_3-20221110_M3,11.66,0.085763293,17.70539419,1301.166667
46P.-1_3,0,0,1.032854209,2.333333333
46P.-2_3,0,0,1.043478261,3
46P.-3_3,0,0,1.038054968,1.833333333
48P.-1_3,0,0,1.072164948,2.666666667
48P.-2_3,0,0,1.06352459,2.666666667
48P.-3_3,0,0,1.048879837,4.833333333
50P.-1_3,0,0,1.045833333,3
50P.-2_3,0,0,1.054545455,2.833333333
50P.-3_3,0,0,1.176842105,5.5
blank_4-20221110_M3,0,0,1.175732218,5.166666667
neg_4-20221110_M3,0,0,1.044176707,3.5
pos_4-20221110_M3,12.41,0.080580177,17.24032587,1314
46P.-1_4,0,0,1.051020408,3.833333333
