"","well","content","replicate","content_replicate","format","plate_ID","instrument","phase","final"
"20221114_M2.73","G01","blank",7,"blank_7-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.74","G02","neg",7,"neg_7-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.75","G03","pos",7,"pos_7-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.76","G04","24P.-1",3,"24P.-1_3",96,"20221114_M2","M2","P","2"
"20221114_M2.77","G05","24P.-2",3,"24P.-2_3",96,"20221114_M2","M2","P","1"
"20221114_M2.78","G06","24P.-3",3,"24P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.79","G07","26P.-1",3,"26P.-1_3",96,"20221114_M2","M2","P","0"
"20221114_M2.80","G08","26P.-2",3,"26P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.81","G09","26P.-3",3,"26P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.82","G10","28P.-1",3,"28P.-1_3",96,"20221114_M2","M2","P","0"
"20221114_M2.83","G11","28P.-2",3,"28P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.84","G12","28P.-3",3,"28P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.85","H01","blank",8,"blank_8-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.86","H02","neg",8,"neg_8-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.87","H03","pos",8,"pos_8-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.88","H04","24P.-1",4,"24P.-1_4",96,"20221114_M2","M2","P","2"
"20221114_M2.89","H05","24P.-2",4,"24P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.90","H06","24P.-3",4,"24P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.91","H07","26P.-1",4,"26P.-1_4",96,"20221114_M2","M2","P","0"
"20221114_M2.92","H08","26P.-2",4,"26P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.93","H09","26P.-3",4,"26P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.94","H10","28P.-1",4,"28P.-1_4",96,"20221114_M2","M2","P","0"
"20221114_M2.95","H11","28P.-2",4,"28P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.96","H12","28P.-3",4,"28P.-3_4",96,"20221114_M2","M2","P","0"
"20221115_M4.1","A01","blank",1,"blank_1-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.2","A02","neg",1,"neg_1-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.3","A03","pos",1,"pos_1-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.4","A04","38P.-1",1,"38P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.5","A05","38P.-3",1,"38P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.6","A06","40P.-2",1,"40P.-2_1",96,"20221115_M4","M4","P","0"
